'6','V09613','2010-01-03 00:00','7',,,,'0','AM',,'R003',,'18987','KAV 035S',,
'14','V00000','2010-01-02 00:00','7246',,,,'0','AM',,'R002',,'21533','KAV 035S',,
'15','V00034','2010-01-03 00:00','13',,,,'0','PM',,'R003',,'2619','KAV 035S',,
'16','V029.5','2010-01-02 00:00','3863',,,,'0','AM',,'R002',,'21535','KAV 035S',,
'17','V04036','2010-01-02 00:00','6.1',,,,'0','AM',,'R002',,'21535','KAV 035S',,
'18','V002.9','2010-01-02 00:00','8824',,,,'0','PM',,'R002',,'2588','KAV 035S',,
'21','V00034','2010-01-04 00:00','14',,,,'0','PM',,'R003',,'2621','KAV 035S',,
'22','V05386','2010-01-03 00:00','8.6',,,,'0','AM',,'R002',,'21544','KAV 035S',,
'23','V09613','2010-01-05 00:00','6',,,,'0','AM',,'R003',,'18993','KAV 035S',,
'25','V00034','2011-01-06 00:00','31',,,,'0','AM',,'R003',,'18997','KAV 035S',,
'28','V00034','2010-01-07 00:00','12.5',,,,'0','PM',,'R003',,'2627','KAV 035S',,
'29','V00034','2010-01-08 00:00','33',,,,'0','AM',,'R003',,'20703','KAV 035S',,
'30','V00034','2010-01-08 00:00','14',,,,'0','PM',,'R003',,'2629','KAV 035S',,
'32','V04763','2010-01-01 00:00','8',,,,'0','AM',,'R006',,'20833','KAV 035S',,
'35','V58155221','2010-01-05 00:00','380614.7',,,,'0','PM',,'R002',,'2599','KAV 035S',,
'36','V00000','2010-01-06 00:00','1787',,,,'0','AM',,'R002',,'21565','KAV 035S',,
'37','V00453','2010-01-12 00:00','3',,,,'0','PM',,'R001',,'1891','KAV 035S',,
'38','V00000','2010-01-08 00:00','81',,,,'0','AM',,'R002',,'21586','KAV 035S',,
'39','V00034','2010-01-10 00:00','14',,,,'0','PM',,'R003',,'2633','KAV 035S',,
'40','V00034','2010-01-10 00:00','14',,,,'0','AM',,'R003',,'2635','KAV 035S',,
