'27356','C00002','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','1200'
'27357','C00010','2010-01-01 00:00','2010-01-31 00:00','Stores:S009','8768'
'27358','C00010','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','600'
'27359','C00010','2010-01-01 00:00','2010-01-31 00:00','Vet Services:Clinical Services','1100'
'27360','C00025','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','1800'
'27361','C00026','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','1345'
'27362','C00029','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','7210'
'27363','C00031','2010-01-01 00:00','2010-01-31 00:00','Stores:S016','1735'
'27364','C00034','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','5655'
'27365','C00034','2010-01-01 00:00','2010-01-31 00:00','Stores:S003','1370'
'27366','C00044','2010-01-01 00:00','2010-01-31 00:00','Stores:S003','4350'
'27367','C00045','2010-01-01 00:00','2010-01-31 00:00','Stores:S014','13494'
'27368','C00045','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','2500'
'27369','C00045','2010-01-01 00:00','2010-01-31 00:00','Vet Services:Clinical Services','550'
'27370','C00048','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','1200'
'27371','C00054','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','1000'
'27372','C00054','2010-01-01 00:00','2010-01-31 00:00','Vet Services:Clinical Services','600'
'27373','C00055','2010-01-01 00:00','2010-01-31 00:00','Stores:S009','8895'
'27374','C00055','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','1500'
'27375','C00056','2010-01-01 00:00','2010-01-31 00:00','Stores:S003','1450'
'27376','C00057','2010-01-01 00:00','2010-01-31 00:00','Stores:S006','2290'
'27377','C00060','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','2168'
'27378','C00065','2010-01-01 00:00','2010-01-31 00:00','Stores:S017','230'
'27379','C00081','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','306'
'27380','C00083','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','5594'
'27381','C00087','2010-01-01 00:00','2010-01-31 00:00','Stores:S005','2309'
'27382','C00096','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','18000'
'27383','C00109','2010-01-01 00:00','2010-01-31 00:00','Vet Services:Clinical Services','500'
'27384','C00121','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','4800'
'27385','C00133','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','1540'
'27386','C00149','2010-01-01 00:00','2010-01-31 00:00','Stores:S023','1450'
'27387','C00152','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','3680'
'27388','C00160','2010-01-01 00:00','2010-01-31 00:00','Stores:S009','670'
'27389','C00160','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','5000'
'27390','C00160','2010-01-01 00:00','2010-01-31 00:00','Vet Services:Clinical Services','2000'
'27391','C00173','2010-01-01 00:00','2010-01-31 00:00','Stores:S009','612'
'27392','C00173','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','1000'
'27393','C00174','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','129'
'27394','C00189','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','2720'
'27395','C00194','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','910'
'27396','C00195','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','4260'
'27397','C00198','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','2510'
'27398','C00203','2010-01-01 00:00','2010-01-31 00:00','Stores:S014','2450'
'27399','C00214','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','2410'
'27400','C00228','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','5215'
'27401','C00231','2010-01-01 00:00','2010-01-31 00:00','Stores:S005','193'
'27402','C00233','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','2442'
'27403','C00234','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','1310'
'27404','C00236','2010-01-01 00:00','2010-01-31 00:00','Stores:S022','4420'
'27405','C00236','2010-01-01 00:00','2010-01-31 00:00','Vet Services:A.I','1000'
'27406','C00240','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','2820'
'27407','C00250','2010-01-01 00:00','2010-01-31 00:00','Stores:S017','1608'
'27408','C00256','2010-01-01 00:00','2010-01-31 00:00','Stores:S016','612'
'27409','C00258','2010-01-01 00:00','2010-01-31 00:00','Stores:S001','129'
'27410','C00264','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','1280'
'27411','C00266','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','1755'
'27412','C00269','2010-01-01 00:00','2010-01-31 00:00','Stores:S004','1280'
'27413','C00274','2010-01-01 00:00','2010-01-31 00:00','Stores:S009','1020'
'27414','C00280','2010-01-01 00:00','2010-01-31 00:00','Stores:S003','1590'
'27415','C00292','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','3150'
'27416','C00292','2010-01-01 00:00','2010-01-31 00:00','Stores:S017','1450'
'27417','C00298','2010-01-01 00:00','2010-01-31 00:00','Stores:S028','3833'
'27418','C00298','2010-01-01 00:00','2010-01-31 00:00','Vet Services:Clinical Services','1100'
'27419','C00302','2010-01-01 00:00','2010-01-31 00:00','Stores:S019','3220'
'27420','C00305','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','1410'
'27421','C00314','2010-01-01 00:00','2010-01-31 00:00','Stores:S002','8974'
'27422','C00318','2010-01-01 00:00','2010-01-31 00:00','Stores:S023','3140'
