'470151','V01748','2010-03-20 00:00','22.9','14:31:00.000000','12','PMM','2','PM','1','R012','D001','E007',,,'0'
'470152','V07568','2010-03-20 00:00','11.9','14:32:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470153','V08797','2010-03-20 00:00','77.4','14:34:00.000000','12','PMM','6','PM','1','R012','D001','E007',,,'0'
'470154','V00834','2010-03-20 00:00','4.7','14:35:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470155','V08973','2010-03-20 00:00','4.8','14:35:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470156','V06511','2010-03-20 00:00','6.2','14:42:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470157','V08802','2010-03-20 00:00','13.5','14:42:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470158','V08529','2010-03-20 00:00','22','14:43:00.000000','12','PMM','2','PM','1','R012','D001','E007',,,'0'
'470159','V06320','2010-03-20 00:00','11.7','14:44:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470160','V02495','2010-03-20 00:00','4.6','14:44:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470161','V08408','2010-03-20 00:00','5.8','14:44:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470162','V01975','2010-03-20 00:00','7.8','14:50:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470163','V06641','2010-03-20 00:00','7.7','14:50:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470164','V03226','2010-03-20 00:00','5.6','14:53:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470165','V00751','2010-03-20 00:00','6','14:53:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470166','V09213','2010-03-20 00:00','5.9','14:54:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470167','V08406','2010-03-20 00:00','3','14:55:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470168','V02515','2010-03-20 00:00','5.9','14:57:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470169','V07339','2010-03-20 00:00','9','14:57:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470170','V04249','2010-03-20 00:00','10.2','14:59:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470171','V08491','2010-03-20 00:00','8.2','15:04:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470172','V09560','2010-03-20 00:00','4.5','15:05:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470173','V07820','2010-03-20 00:00','12','15:05:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470174','V02937','2010-03-20 00:00','5.2','15:06:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470175','V02868','2010-03-20 00:00','4.9','15:07:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470176','V03512','2010-03-20 00:00','8.2','15:08:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470177','V05800','2010-03-20 00:00','5.9','15:08:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470178','V06741','2010-03-20 00:00','10.8','15:10:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470179','V08331','2010-03-20 00:00','2.2','15:14:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
'470180','V08035','2010-03-20 00:00','9.3','15:16:00.000000','12','PMM','1','PM','1','R012','D001','E007',,,'0'
